name	number_unique_genes	number_multiple_genes	number_multiple_unique_genes	number_missing_genes	list_unique_genes	list_multiple_genes	list_multiple_unique_genes	list_missing_genes
EIO01_concoct_5	98	3	0	19	PF00380.20,PF00410.20,PF00466.21,PF01025.20,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00250,TIGR00337,TIGR00382,TIGR00392,TIGR00396,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00755,TIGR00810,TIGR00922,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02350,TIGR02397,TIGR02432,TIGR02729,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03953	TIGR00362,TIGR00398,TIGR00456		PF02576.18,TIGR00092,TIGR00168,TIGR00186,TIGR00194,TIGR00344,TIGR00631,TIGR00717,TIGR00928,TIGR00959,TIGR01059,TIGR01063,TIGR01302,TIGR02191,TIGR02273,TIGR02386,TIGR03263,TIGR03723,TIGR03725
ERR3589582_maxbin_7_remove	97	6	0	17	PF00380.20,PF00410.20,PF00466.21,PF01025.20,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00337,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00435,TIGR00436,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00810,TIGR00922,TIGR00964,TIGR00967,TIGR01011,TIGR01017,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02027,TIGR02075,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953	TIGR00382,TIGR01009,TIGR01021,TIGR01171,TIGR02013,TIGR02350		TIGR00020,TIGR00029,TIGR00250,TIGR00344,TIGR00431,TIGR00442,TIGR00717,TIGR00755,TIGR00928,TIGR00959,TIGR00963,TIGR01059,TIGR01063,TIGR01302,TIGR02191,TIGR02273,TIGR02386
ERR3589582_metabat_1	96	5	0	19	PF00380.20,PF00410.20,PF00466.21,PF01025.20,PF02576.18,PF03726.15,TIGR00019,TIGR00020,TIGR00043,TIGR00054,TIGR00059,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00810,TIGR00922,TIGR00964,TIGR00967,TIGR01011,TIGR01017,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01164,TIGR01169,TIGR01391,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02350,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03953	TIGR00382,TIGR01009,TIGR01021,TIGR01146,TIGR01171		TIGR00006,TIGR00029,TIGR00061,TIGR00092,TIGR00442,TIGR00539,TIGR00717,TIGR00755,TIGR00928,TIGR00959,TIGR00963,TIGR01059,TIGR01063,TIGR01302,TIGR01393,TIGR02191,TIGR02273,TIGR02386,TIGR03725
ERR3589583_concoct_19_remove	90	4	0	26	PF00410.20,PF00466.21,PF01025.20,PF03726.15,TIGR00020,TIGR00043,TIGR00054,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00635,TIGR00643,TIGR00663,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01071,TIGR01079,TIGR01082,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01391,TIGR01394,TIGR01510,TIGR01632,TIGR01953,TIGR02012,TIGR02013,TIGR02075,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03654,TIGR03723,TIGR03725,TIGR03953	PF02576.18,TIGR00382,TIGR02350,TIGR02397		PF00380.20,TIGR00006,TIGR00019,TIGR00029,TIGR00059,TIGR00092,TIGR00168,TIGR00442,TIGR00487,TIGR00631,TIGR00634,TIGR00717,TIGR00963,TIGR01059,TIGR01063,TIGR01066,TIGR01087,TIGR01302,TIGR01393,TIGR01951,TIGR02027,TIGR02191,TIGR02273,TIGR02386,TIGR02432,TIGR03632
ERR3589583_maxbin_8_remove	92	4	0	24	PF00380.20,PF00410.20,PF00466.21,PF01025.20,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00186,TIGR00337,TIGR00344,TIGR00362,TIGR00382,TIGR00392,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00468,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00635,TIGR00643,TIGR00663,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01021,TIGR01032,TIGR01044,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01391,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02027,TIGR02075,TIGR02273,TIGR02350,TIGR02397,TIGR02729,TIGR03263,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953	TIGR00168,TIGR01128,TIGR01393,TIGR02432		TIGR00061,TIGR00194,TIGR00250,TIGR00396,TIGR00398,TIGR00460,TIGR00472,TIGR00634,TIGR00717,TIGR00755,TIGR00810,TIGR00922,TIGR01017,TIGR01029,TIGR01039,TIGR01059,TIGR01087,TIGR01302,TIGR01394,TIGR01510,TIGR02013,TIGR02191,TIGR02386,TIGR03594
ERR3589583_metabat_1_remove	103	6	0	11	PF00380.20,PF00410.20,PF00466.21,PF01025.20,PF02576.18,PF03726.15,TIGR00019,TIGR00020,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01391,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02273,TIGR02350,TIGR02432,TIGR02729,TIGR03263,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953	TIGR00382,TIGR00472,TIGR01087,TIGR01128,TIGR01393,TIGR02397		TIGR00006,TIGR00029,TIGR00631,TIGR00717,TIGR00963,TIGR01059,TIGR01302,TIGR01953,TIGR02191,TIGR02386,TIGR03594
ERR3589591_concoct_17_remove	81	8	0	31	PF00380.20,PF00410.20,PF00466.21,PF01025.20,PF02576.18,TIGR00006,TIGR00019,TIGR00020,TIGR00043,TIGR00054,TIGR00059,TIGR00065,TIGR00082,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00382,TIGR00398,TIGR00416,TIGR00420,TIGR00431,TIGR00436,TIGR00442,TIGR00445,TIGR00459,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00810,TIGR00922,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01044,TIGR01066,TIGR01087,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02013,TIGR02027,TIGR02273,TIGR02350,TIGR02432,TIGR02729,TIGR03594,TIGR03625,TIGR03654,TIGR03723	PF03726.15,TIGR00362,TIGR00435,TIGR00539,TIGR00631,TIGR01039,TIGR01063,TIGR03725		TIGR00029,TIGR00061,TIGR00064,TIGR00083,TIGR00158,TIGR00392,TIGR00396,TIGR00414,TIGR00456,TIGR00460,TIGR00717,TIGR00755,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR01059,TIGR01071,TIGR01079,TIGR01082,TIGR01128,TIGR01302,TIGR01391,TIGR02012,TIGR02075,TIGR02191,TIGR02386,TIGR02397,TIGR03263,TIGR03632,TIGR03953
ERR3589591_concoct_8_remove	93	11	0	16	PF00380.20,PF00410.20,PF00466.21,PF01025.20,PF02576.18,PF03726.15,TIGR00006,TIGR00020,TIGR00043,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00088,TIGR00090,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00392,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00615,TIGR00634,TIGR00643,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01066,TIGR01071,TIGR01079,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03953	TIGR00054,TIGR00194,TIGR00382,TIGR00396,TIGR00398,TIGR00459,TIGR00663,TIGR02350,TIGR02397,TIGR03723,TIGR03725		TIGR00019,TIGR00029,TIGR00086,TIGR00092,TIGR00435,TIGR00580,TIGR00593,TIGR00631,TIGR00635,TIGR00717,TIGR01063,TIGR01082,TIGR01302,TIGR01953,TIGR02273,TIGR02386
ERR599078_concoct_11_remove	96	11	0	13	PF00380.20,PF00410.20,PF00466.21,PF01025.20,PF02576.18,TIGR00006,TIGR00019,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00392,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00472,TIGR00487,TIGR00496,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00643,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01951,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03953	TIGR00362,TIGR00382,TIGR00396,TIGR00398,TIGR00435,TIGR00539,TIGR00663,TIGR01953,TIGR02350,TIGR02397,TIGR03725		PF03726.15,TIGR00020,TIGR00065,TIGR00138,TIGR00344,TIGR00468,TIGR00631,TIGR00635,TIGR00717,TIGR01063,TIGR01302,TIGR01632,TIGR02386
ERR599078_maxbin_6_remove	70	10	0	40	PF00380.20,PF00410.20,PF01025.20,TIGR00006,TIGR00019,TIGR00029,TIGR00043,TIGR00054,TIGR00061,TIGR00064,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00250,TIGR00344,TIGR00362,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00468,TIGR00472,TIGR00496,TIGR00539,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00643,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01021,TIGR01029,TIGR01039,TIGR01044,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01087,TIGR01164,TIGR01171,TIGR01391,TIGR01393,TIGR02075,TIGR02191,TIGR02273,TIGR02397,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03953	TIGR00059,TIGR00337,TIGR00435,TIGR00459,TIGR00580,TIGR00755,TIGR02013,TIGR02027,TIGR02350,TIGR03725		PF00466.21,PF02576.18,PF03726.15,TIGR00020,TIGR00065,TIGR00090,TIGR00092,TIGR00186,TIGR00194,TIGR00382,TIGR00392,TIGR00420,TIGR00431,TIGR00460,TIGR00487,TIGR00635,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR01011,TIGR01017,TIGR01032,TIGR01059,TIGR01082,TIGR01128,TIGR01146,TIGR01169,TIGR01302,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02386,TIGR02432,TIGR02729
ERR599078_maxbin_7_remove	69	6	0	45	PF00410.20,PF03726.15,TIGR00019,TIGR00029,TIGR00043,TIGR00054,TIGR00061,TIGR00064,TIGR00082,TIGR00088,TIGR00090,TIGR00092,TIGR00115,TIGR00116,TIGR00158,TIGR00166,TIGR00186,TIGR00250,TIGR00337,TIGR00382,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00436,TIGR00442,TIGR00445,TIGR00472,TIGR00539,TIGR00580,TIGR00615,TIGR00634,TIGR00643,TIGR00810,TIGR00928,TIGR00959,TIGR00963,TIGR00967,TIGR01009,TIGR01011,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01066,TIGR01071,TIGR01082,TIGR01087,TIGR01146,TIGR01164,TIGR01171,TIGR01391,TIGR01394,TIGR01510,TIGR01951,TIGR02012,TIGR02075,TIGR02273,TIGR02350,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03654,TIGR03723,TIGR03725,TIGR03953	TIGR00020,TIGR00194,TIGR00362,TIGR00487,TIGR00663,TIGR01393		PF00380.20,PF00466.21,PF01025.20,PF02576.18,TIGR00006,TIGR00059,TIGR00065,TIGR00083,TIGR00084,TIGR00086,TIGR00095,TIGR00138,TIGR00168,TIGR00344,TIGR00420,TIGR00431,TIGR00435,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00496,TIGR00593,TIGR00631,TIGR00635,TIGR00717,TIGR00755,TIGR00922,TIGR00964,TIGR01017,TIGR01059,TIGR01063,TIGR01079,TIGR01128,TIGR01169,TIGR01302,TIGR01632,TIGR01953,TIGR02013,TIGR02027,TIGR02191,TIGR02386,TIGR02397,TIGR03625,TIGR03632
ERR599078_metabat_2_remove	74	9	0	37	PF00380.20,PF00410.20,PF00466.21,PF01025.20,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00059,TIGR00061,TIGR00064,TIGR00082,TIGR00083,TIGR00084,TIGR00088,TIGR00090,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00166,TIGR00194,TIGR00250,TIGR00382,TIGR00392,TIGR00396,TIGR00398,TIGR00416,TIGR00420,TIGR00431,TIGR00436,TIGR00445,TIGR00456,TIGR00459,TIGR00468,TIGR00496,TIGR00593,TIGR00643,TIGR00810,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01021,TIGR01029,TIGR01032,TIGR01044,TIGR01059,TIGR01066,TIGR01071,TIGR01082,TIGR01087,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01391,TIGR01393,TIGR01510,TIGR01951,TIGR02012,TIGR02027,TIGR02075,TIGR02350,TIGR02729,TIGR03263,TIGR03594,TIGR03632,TIGR03654,TIGR03723,TIGR03953	TIGR00054,TIGR00337,TIGR00362,TIGR00414,TIGR00472,TIGR00663,TIGR00755,TIGR02397,TIGR03725		TIGR00065,TIGR00086,TIGR00092,TIGR00158,TIGR00168,TIGR00186,TIGR00344,TIGR00435,TIGR00442,TIGR00460,TIGR00487,TIGR00539,TIGR00580,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00717,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR01017,TIGR01039,TIGR01063,TIGR01079,TIGR01128,TIGR01302,TIGR01394,TIGR01632,TIGR01953,TIGR02013,TIGR02191,TIGR02273,TIGR02386,TIGR02432,TIGR03625
ERR599078_metabat_3_remove	63	5	0	52	TIGR00006,TIGR00019,TIGR00029,TIGR00043,TIGR00054,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00095,TIGR00116,TIGR00138,TIGR00166,TIGR00250,TIGR00344,TIGR00382,TIGR00392,TIGR00396,TIGR00414,TIGR00416,TIGR00420,TIGR00445,TIGR00456,TIGR00459,TIGR00468,TIGR00472,TIGR00496,TIGR00539,TIGR00580,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00810,TIGR00928,TIGR00959,TIGR01011,TIGR01032,TIGR01039,TIGR01066,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01393,TIGR01394,TIGR01510,TIGR01951,TIGR02012,TIGR02013,TIGR02027,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03632	TIGR00020,TIGR00337,TIGR00362,TIGR02350,TIGR03725		PF00380.20,PF00410.20,PF00466.21,PF01025.20,PF02576.18,PF03726.15,TIGR00059,TIGR00092,TIGR00115,TIGR00158,TIGR00168,TIGR00186,TIGR00194,TIGR00398,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00460,TIGR00487,TIGR00593,TIGR00631,TIGR00717,TIGR00755,TIGR00922,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01017,TIGR01021,TIGR01029,TIGR01044,TIGR01059,TIGR01063,TIGR01071,TIGR01079,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01632,TIGR01953,TIGR02075,TIGR02191,TIGR02273,TIGR02386,TIGR03625,TIGR03654,TIGR03723,TIGR03953
Fischerella_sp._PCC_9605	111	7	0	2	PF00380.20,PF00410.20,PF00466.21,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00382,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02273,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953	PF01025.20,TIGR00168,TIGR00392,TIGR00396,TIGR01063,TIGR02191,TIGR02350		TIGR00717,TIGR01302
GEYO	116	1	0	3	PF00380.20,PF00410.20,PF00466.21,PF01025.20,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00337,TIGR00344,TIGR00362,TIGR00382,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00755,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953	TIGR02350		TIGR00717,TIGR01302,TIGR02386
Gastranaerophilales_bacterium_strain_UMGS1517	109	10	0	1	PF00380.20,PF00410.20,PF01025.20,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00065,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00344,TIGR00362,TIGR00382,TIGR00392,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00431,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00755,TIGR00810,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01171,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953	PF00466.21,TIGR00043,TIGR00337,TIGR00420,TIGR00496,TIGR00717,TIGR00922,TIGR01169,TIGR01632,TIGR02075		TIGR01302
